Año,<7días,7-27días,28días-11meses,<1año,1-4años,5-14años,15-18años,9-59años,60-74años,75 años y más,Total*
2001,368,179,314,861,248,425,348,16 494,21 455,39 550,79 395
2002,388,203,331,922,223,398,291,15 663,20 093,36 283,73 883
2003,340,196,323,859,242,339,316,15 730,21 174,39 769,78 434
2004,271,172,293,736,247,332,298,15 681,21 525,42 286,81 110
2005,258,151,337,746,219,346,302,16 057,22 387,44 760,84 824
2006,234,126,229,589,199,270,276,15 259,22 390,41 847,80 831
2007,220,121,251,592,160,310,274,15 419,22 758,42 406,81 927
2008,236,148,195,579,177,253,256,15 543,23 688,45 921,86 423
2009,237,114,275,626,162,280,233,15 644,23 753,46 233,86 940
2010,225,113,243,581,152,289,184,15 727,25 595,48 532,91 065
2011,248,145,260,653,147,250,223,14 952,24 385,46 429,87 044
2012,202,116,263,581,165,251,226,15 855,25 045,47 232,89 372
2013,203,106,216,525,196,251,216,16 040,26 263,48 763,92 273
2014,183,103,228,514,183,240,187,16 155,27 323,51 711,96 330
2015,212,93,230,535,184,247,212,16 939,27 983,53 584,99 691
2016,186,92,219,497,147,272,213,16 846,28 171,53 217,99 388
2017,146,95,224,465,162,212,217,17 369,30 505,57 980,106 949
2018,171,92,198,461,150,239,199,17 602,30 404,57 090,106 196
2019,197,105,250,552,173,242,204,18 349,31 407,58 108,109 089
2020,183,136,197,516,137,195,195,18 245,32 244,60 852,112 449
2021,247,220,287,754,156,259,173,26 179,48 473,91 637,167 675
2022,207,209,299,715,191,281,219,18 036,34 161,66 466,120 108
2023,192,185,264,641,155,256,199,17 987,34 146,64 262,117 746
