Año,<7días,7-27días,28días-11meses,<1año,1-4años,5-14años,15-18años,9-59años,60-74años,75 añosy más,Total *
2001,2.6,1.3,2.3,6.2,0.4,0.3,0.6,2.5,19.8,82.8,7.1
2002,2.7,1.4,2.3,6.5,0.3,0.2,0.5,2.4,18.5,75.8,6.6
2003,2.5,1.4,2.4,6.3,0.4,0.2,0.5,2.4,18.3,77.9,7.0
2004,2.1,1.4,2.3,5.8,0.4,0.2,0.5,2.4,18.6,82.7,7.2
2005,2.1,1.3,2.8,6.2,0.4,0.2,0.4,2.4,18.3,87.3,7.5
2006,2.1,1.1,2.1,5.3,0.4,0.2,0.4,2.3,18.5,79.0,7.2
2007,2.0,1.1,2.2,5.3,0.3,0.2,0.4,2.3,18.5,78.2,7.3
2008,1.9,1.2,1.6,4.7,0.4,0.2,0.4,2.3,18.9,85.5,7.7
2009,1.8,0.9,2.1,4.8,0.3,0.2,0.3,2.3,18.3,81.7,7.7
2010,1.8,0.9,1.9,4.5,0.3,0.2,0.3,2.3,19.3,83.9,8.1
2011,1.9,1.1,2.0,4.9,0.3,0.2,0.4,2.2,17.2,77.6,7.7
2012,1.6,0.9,2.1,4.6,0.4,0.2,0.4,2.4,17.9,79.2,7.9
2013,1.6,0.8,1.7,4.2,0.4,0.2,0.4,2.4,18.5,80.3,8.3
2014,1.5,0.8,1.9,4.2,0.4,0.2,0.3,2.4,19.3,85.2,8.6
2015,1.7,0.7,1.8,4.3,0.4,0.2,0.4,2.5,19.0,36.4,8.9
2016,1.6,0.8,1.9,4.3,0.3,0.2,0.4,2.5,18.8,83.0,8.8
2017,1.3,0.8,1.9,4.0,0.3,0.2,0.4,2.6,19.7,83.1,9.5
2018,1.5,0.8,1.7,4.0,0.3,0.2,0.4,2.7,19.4,79.0,9.4
2019,1.8,1.0,2.3,5.0,0.4,0.2,0.4,2.8,19.9,78.2,9.7
2020,1.7,1.3,1.9,4.9,0.3,0.2,0.4,2.8,20.7,85.7,10.0
2021,2.5,2.2,2.9,7.6,0.3,0.2,0.4,4.1,29.7,121.8,15.2
2022,2.2,2.2,3.1,7.5,0.4,0.2,0.5,3.0,20.7,88.6,11.3
2023,2.1,2.0,2.9,7.1,0.4,0.2,0.5,3.1,20.3,84.5,11.5
