Provincia,Total-2022,Directa-2022,Indirecta-2022,Total-2023,Directa-2023,Indirecta-2023
Pinar del Río,2,1,1,1,1,null
Artemisa,1,1,null,2,2,null
La Habana,8,7,1,5,3,2
Mayabeque,1,null,1,null,null,null
Matanzas,null,null,null,2,2,null
Villa Clara,3,3,null,null,null,null
Cienfuegos,null,null,null,1,null,1
Sancti Spíritus,2,2,null,1,null,1
Ciego de Ávila,1,null,1,3,3,null
Camagüey,4,3,1,3,1,2
Las Tunas,3,1,2,1,1,null
Holguín,1,null,1,4,4,null
Granma,3,2,1,3,2,1
Santiago de Cuba,3,2,1,6,3,3
Guantánamo,7,4,3,3,1,2
Isla de la Juventud,null,null,null,null,null,null

