Localización,<  10 años,10-19 años,20-39 años,40-59 años,60-79 años,80 años y más,Total*,<  10 años-Tasa * 100 000 hombres,10-19 años-Tasa * 100 000 hombres,20-39 años-Tasa * 100 000 hombres,40-59 años-Tasa * 100 000 hombres,60-79 años-Tasa * 100 000 hombres,80 años y  más-Tasa * 100 000 hombres,Total* - Tasa * 100 000 hombres,Año
Próstata (C61),1,-,1,127,1688,1661,3479,"0,2",-,"0,1","8,3","178,3","933,3","68,7",2023
"Tráquea, bronquios y pulmón (C33-C34)",-,-,8,422,1906,609,2945,-,-,"0,6","27,5","201,3","342,2","58,2",2023
"Intestino, excepto el recto (C17-C18)",1,-,11,188,603,356,1159,"0,2",-,"0,9","12,3","63,7","200,0","22,9",2023
Laringe (C32),-,-,3,193,471,150,818,-,-,"0,2","12,6","49,7","84,3","16,2",2023
"Labio, cavidad bucal y faringe (C00-C14)",-,1,6,235,386,102,730,-,"0,2","0,5","15,3","40,8","57,3","14,4",2023
Vías urinarias (C64-C68),4,-,7,58,368,219,656,"0,7",-,"0,5","3,8","38,9","123,0","13,0",2023
Esófago (C15),-,-,2,202,349,87,640,-,-,"0,2","13,2","36,9","48,9","12,6",2023
"Otros tumores del tejido linfático y de los órganos hematopoyéticos (C81-C90, C96)",1,5,31,133,248,66,484,"0,2","0,9","2,4","8,7","26,2","37,1","9,6",2023
Estómago (C16),-,-,5,87,276,96,464,-,-,"0,4","5,7","29,1","53,9","9,2",2023
Hígado y vías biliares intrahepáticas (C22),-,-,5,74,282,81,442,-,-,"0,4","4,8","29,8","45,5","8,7",2023
Páncreas (C25),-,-,6,93,247,68,414,-,-,"0,5","6,1","26,1","38,2","8,2",2023
Encéfalo (C71),5,2,21,103,152,32,315,"0,9","0,3","1,6","6,7","16,1","18,0","6,2",2023
Piel (C43-C44),-,1,2,37,113,133,286,-,"0,2","0,2","2,4","11,9","74,7","5,7",2023
Leucemia (C91-C95),19,12,16,58,131,47,283,"3,5","2,1","1,3","3,8","13,8","26,4","5,6",2023
"Recto, porción rectosigmoidea y ano (C19-C21)",-,-,10,34,110,40,194,-,-,"0,8","2,2","11,6","22,5","3,8",2023
Huesos y cartílagos articulares (C40-C41),2,4,11,31,78,29,155,"0,4","0,7","0,9","2,0","8,2","16,3","3,1",2023
Mama (C50),-,-,-,4,9,4,17,-,-,-,"3,0","1,0","2,2","0,3",2023
Resto de las localizaciones,3,5,24,173,436,172,813,"0,5","0,9","1,9","11,3","46,0","96,6","16,1",2023
